model_type,retrainer,exp_type,class,class_name,f1
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_4,timeout_msm,1,neutral,0.4784
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_4,timeout_msm,2,up,0.5221
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_6,timeout_msm,0,down,0.5344
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_6,timeout_msm,1,neutral,0.4713
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_6,timeout_msm,2,up,0.5186
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_3,timeout_msm,0,down,0.5464
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_3,timeout_msm,1,neutral,0.4758
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_3,timeout_msm,2,up,0.5228
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_4,timeout_msm,0,down,0.5464
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_4,timeout_msm,1,neutral,0.4718
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_4,timeout_msm,2,up,0.5198
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_6,timeout_msm,0,down,0.5344
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_6,timeout_msm,1,neutral,0.4713
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_6,timeout_msm,2,up,0.5186
lr,timeout_msm_tau_1_0.88_tau_2_0.78_lb_3,timeout_msm,0,down,0.5464
lr,timeout_msm_tau_1_0.88_tau_2_0.78_lb_3,timeout_msm,1,neutral,0.4758
lr,timeout_msm_tau_1_0.88_tau_2_0.78_lb_3,timeout_msm,2,up,0.5228
